Count,Date
0,2014-12-18 0:00
0,2014-12-18 0:15
0,2014-12-18 0:30
0,2014-12-18 0:45
0,2014-12-18 1:00
0,2014-12-18 1:15
0,2014-12-18 1:30
0,2014-12-18 1:45
0,2014-12-18 2:00
0,2014-12-18 2:15
0,2014-12-18 2:30
0,2014-12-18 2:45
0,2014-12-18 3:00
0,2014-12-18 3:15
0,2014-12-18 3:30
0,2014-12-18 3:45
0,2014-12-18 4:00
0,2014-12-18 4:15
0,2014-12-18 4:30
0,2014-12-18 4:45
0,2014-12-18 5:00
0,2014-12-18 5:15
0,2014-12-18 5:30
0,2014-12-18 5:45
0,2014-12-18 6:00
0,2014-12-18 6:15
0,2014-12-18 6:30
0,2014-12-18 6:45
0,2014-12-18 7:00
0,2014-12-18 7:15
0,2014-12-18 7:30
0,2014-12-18 7:45
0,2014-12-18 8:00
0,2014-12-18 8:15
0,2014-12-18 8:30
0,2014-12-18 8:45
0,2014-12-18 9:00
0,2014-12-18 9:15
0,2014-12-18 9:30
0,2014-12-18 9:45
0,2014-12-18 10:00
0,2014-12-18 10:15
0,2014-12-18 10:30
0,2014-12-18 10:45
1,2014-12-18 11:00
15,2014-12-18 11:15
19,2014-12-18 11:30
6,2014-12-18 11:45
8,2014-12-18 12:00
7,2014-12-18 12:15
5,2014-12-18 12:30
6,2014-12-18 12:45
7,2014-12-18 13:00
10,2014-12-18 13:15
8,2014-12-18 13:30
6,2014-12-18 13:45
9,2014-12-18 14:00
9,2014-12-18 14:15
8,2014-12-18 14:30
7,2014-12-18 14:45
10,2014-12-18 15:00
13,2014-12-18 15:15
11,2014-12-18 15:30
19,2014-12-18 15:45
30,2014-12-18 16:00
21,2014-12-18 16:15
32,2014-12-18 16:30
48,2014-12-18 16:45
44,2014-12-18 17:00
40,2014-12-18 17:15
36,2014-12-18 17:30
31,2014-12-18 17:45
16,2014-12-18 18:00
10,2014-12-18 18:15
11,2014-12-18 18:30
10,2014-12-18 18:45
8,2014-12-18 19:00
2,2014-12-18 19:15
2,2014-12-18 19:30
5,2014-12-18 19:45
7,2014-12-18 20:00
4,2014-12-18 20:15
5,2014-12-18 20:30
3,2014-12-18 20:45
4,2014-12-18 21:00
2,2014-12-18 21:15
2,2014-12-18 21:30
3,2014-12-18 21:45
4,2014-12-18 22:00
3,2014-12-18 22:15
1,2014-12-18 22:30
0,2014-12-18 22:45
0,2014-12-18 23:00
2,2014-12-18 23:15
0,2014-12-18 23:30
0,2014-12-18 23:45
1,2014-12-19 0:00
1,2014-12-19 0:15
2,2014-12-19 0:30
0,2014-12-19 0:45
0,2014-12-19 1:00
0,2014-12-19 1:15
0,2014-12-19 1:30
0,2014-12-19 1:45
0,2014-12-19 2:00
0,2014-12-19 2:15
0,2014-12-19 2:30
0,2014-12-19 2:45
0,2014-12-19 3:00
0,2014-12-19 3:15
0,2014-12-19 3:30
0,2014-12-19 3:45
0,2014-12-19 4:00
0,2014-12-19 4:15
0,2014-12-19 4:30
1,2014-12-19 4:45
0,2014-12-19 5:00
1,2014-12-19 5:15
0,2014-12-19 5:30
2,2014-12-19 5:45
2,2014-12-19 6:00
6,2014-12-19 6:15
5,2014-12-19 6:30
9,2014-12-19 6:45
10,2014-12-19 7:00
12,2014-12-19 7:15
17,2014-12-19 7:30
30,2014-12-19 7:45
35,2014-12-19 8:00
43,2014-12-19 8:15
24,2014-12-19 8:30
29,2014-12-19 8:45
21,2014-12-19 9:00
15,2014-12-19 9:15
8,2014-12-19 9:30
12,2014-12-19 9:45
10,2014-12-19 10:00
12,2014-12-19 10:15
9,2014-12-19 10:30
10,2014-12-19 10:45
13,2014-12-19 11:00
8,2014-12-19 11:15
22,2014-12-19 11:30
8,2014-12-19 11:45
9,2014-12-19 12:00
9,2014-12-19 12:15
17,2014-12-19 12:30
12,2014-12-19 12:45
11,2014-12-19 13:00
10,2014-12-19 13:15
7,2014-12-19 13:30
8,2014-12-19 13:45
12,2014-12-19 14:00
14,2014-12-19 14:15
13,2014-12-19 14:30
13,2014-12-19 14:45
17,2014-12-19 15:00
16,2014-12-19 15:15
20,2014-12-19 15:30
14,2014-12-19 15:45
19,2014-12-19 16:00
18,2014-12-19 16:15
31,2014-12-19 16:30
37,2014-12-19 16:45
29,2014-12-19 17:00
22,2014-12-19 17:15
23,2014-12-19 17:30
17,2014-12-19 17:45
15,2014-12-19 18:00
20,2014-12-19 18:15
8,2014-12-19 18:30
7,2014-12-19 18:45
4,2014-12-19 19:00
5,2014-12-19 19:15
0,2014-12-19 19:30
5,2014-12-19 19:45
4,2014-12-19 20:00
3,2014-12-19 20:15
2,2014-12-19 20:30
9,2014-12-19 20:45
0,2014-12-19 21:00
2,2014-12-19 21:15
2,2014-12-19 21:30
2,2014-12-19 21:45
1,2014-12-19 22:00
0,2014-12-19 22:15
0,2014-12-19 22:30
1,2014-12-19 22:45
1,2014-12-19 23:00
2,2014-12-19 23:15
1,2014-12-19 23:30
3,2014-12-19 23:45
1,2014-12-20 0:00
2,2014-12-20 0:15
0,2014-12-20 0:30
1,2014-12-20 0:45
2,2014-12-20 1:00
0,2014-12-20 1:15
0,2014-12-20 1:30
1,2014-12-20 1:45
1,2014-12-20 2:00
0,2014-12-20 2:15
3,2014-12-20 2:30
0,2014-12-20 2:45
1,2014-12-20 3:00
0,2014-12-20 3:15
0,2014-12-20 3:30
0,2014-12-20 3:45
0,2014-12-20 4:00
0,2014-12-20 4:15
0,2014-12-20 4:30
0,2014-12-20 4:45
0,2014-12-20 5:00
2,2014-12-20 5:15
1,2014-12-20 5:30
0,2014-12-20 5:45
0,2014-12-20 6:00
1,2014-12-20 6:15
0,2014-12-20 6:30
3,2014-12-20 6:45
1,2014-12-20 7:00
4,2014-12-20 7:15
0,2014-12-20 7:30
4,2014-12-20 7:45
3,2014-12-20 8:00
3,2014-12-20 8:15
8,2014-12-20 8:30
5,2014-12-20 8:45
13,2014-12-20 9:00
6,2014-12-20 9:15
