Date,Temp,Rain
2014-12-18,8.6,
2014-12-19,7.6,
2014-12-20,9.4,
2014-12-21,10.2,
2014-12-22,6.6,
2014-12-23,7.9,
2014-12-24,6.4,
2014-12-25,3.4,
2014-12-26,5.1,
2014-12-27,6.5,
2014-12-28,3.7,
2014-12-29,3.5,
2014-12-30,-0.3,
2014-12-31,0.0,
2015-01-01,0.7,0.0
2015-01-02,3.4,2.8
2015-01-03,4.0,2.0
2015-01-04,6.6,14.0
2015-01-05,8.1,20.8
2015-01-06,9.3,0.0
2015-01-07,6.7,0.25
2015-01-08,6.8,0.0
2015-01-09,7.2,1.3
2015-01-10,6.7,1.5
2015-01-11,7.0,0.0
2015-01-12,7.3,0.25
2015-01-13,5.9,0.0
2015-01-14,4.3,0.0
2015-01-15,6.4,0.76
2015-01-16,9.4,0.0
2015-01-17,7.0,8.1
2015-01-18,9.3,14.2
2015-01-19,7.3,2.8
2015-01-20,4.9,0.0
2015-01-21,5.0,0.51
2015-01-22,7.1,5.1
2015-01-23,9.9,2.0
2015-01-24,11.1,1.8
2015-01-25,9.9,1.3
2015-01-26,7.8,0.51
2015-01-27,8.5,1.0
2015-01-28,6.7,0.76
2015-01-29,6.9,0.51
2015-01-30,5.6,0.51
2015-01-31,6.1,0.51
2015-02-01,7.1,0.76
2015-02-02,8.4,0.51
2015-02-03,8.7,0.51
2015-02-04,7.8,0.25
2015-02-05,10.5,0.76
2015-02-06,10.8,0.51
2015-02-07,10.4,0.25
2015-02-08,10.6,0.51
2015-02-09,10.0,0.25
2015-02-10,10.7,0.25
2015-02-11,9.2,0.25
2015-02-12,9.5,0.0
2015-02-13,10.7,0.25
2015-02-14,9.1,0.25
2015-02-15,6.6,0.0
2015-02-16,8.9,0.25
2015-02-17,8.8,0.0
2015-02-18,8.3,0.0
2015-02-19,8.9,0.0
2015-02-20,8.9,0.25
2015-02-21,8.5,0.0
2015-02-22,6.7,0.0
2015-02-23,5.6,0.0
2015-02-24,6.7,0.0
2015-02-25,6.5,0.0
2015-02-26,8.5,0.25
2015-02-27,8.2,0.0
2015-02-28,8.1,0.0
2015-03-01,4.5,0.0
2015-03-02,6.7,0.0
2015-03-03,5.9,0.0
2015-03-04,4.7,1.3
2015-03-05,5.9,0.25
2015-03-06,7.9,0.0
2015-03-07,8.2,0.0
2015-03-08,8.1,0.0
2015-03-09,7.4,0.0
2015-03-10,8.4,0.25
2015-03-11,11.4,0.0
2015-03-12,12.5,0.0
2015-03-13,11.1,0.0
2015-03-14,11.1,0.0
2015-03-15,7.2,0.0
2015-03-16,7.9,0.0
2015-03-17,9.0,0.0
2015-03-18,9.9,0.0
2015-03-19,9.7,0.0
2015-03-20,10.7,0.25
2015-03-21,10.5,0.0
2015-03-22,8.8,0.0
2015-03-23,7.7,0.0
2015-03-24,9.0,0.0
2015-03-25,10.4,0.0
2015-03-26,12.5,0.0
2015-03-27,11.6,0.0
2015-03-28,11.0,0.0
2015-03-29,10.5,0.0
2015-03-30,11.9,0.0
2015-03-31,9.3,0.0
2015-04-01,8.0,0.0
2015-04-02,7.9,0.0
2015-04-03,7.9,0.0
2015-04-04,8.2,0.0
2015-04-05,8.1,0.0
2015-04-06,7.8,0.0
2015-04-07,9.4,0.0
2015-04-08,10.1,0.0
2015-04-09,9.2,0.0
2015-04-10,8.2,0.0
2015-04-11,7.5,0.0
2015-04-12,8.3,0.0
2015-04-13,7.4,0.0
2015-04-14,8.6,0.0
2015-04-15,9.0,0.0
2015-04-16,9.9,0.0
2015-04-17,12.1,0.0
2015-04-18,11.4,0.0
2015-04-19,12.2,0.0
2015-04-20,12.5,0.0
2015-04-21,11.3,0.25
2015-04-22,10.4,0.0
2015-04-23,9.1,0.51
2015-04-24,8.3,5.6
2015-04-25,8.3,0.76
2015-04-26,9.6,0.0
2015-04-27,13.2,0.51
2015-04-28,13.4,0.25
2015-04-29,11.5,0.0
2015-04-30,12.0,0.0
2015-05-01,13.1,0.0
2015-05-02,11.7,0.0
2015-05-03,11.7,0.0
2015-05-04,11.9,0.0
2015-05-05,10.9,0.51
2015-05-06,10.4,0.0
2015-05-07,12.5,0.0
2015-05-08,15.0,0.0
2015-05-09,14.1,0.0
2015-05-10,14.2,0.0
2015-05-11,13.5,0.0
2015-05-12,13.7,0.0
2015-05-13,13.7,0.0
2015-05-14,12.5,0.76
2015-05-15,14.0,0.0
2015-05-16,14.2,0.0
2015-05-17,14.2,0.0
2015-05-18,14.8,0.0
2015-05-19,15.3,0.0
2015-05-20,14.1,0.0
2015-05-21,14.9,0.0
2015-05-22,14.1,0.0
2015-05-23,13.4,0.0
2015-05-24,14.0,0.0
2015-05-25,12.5,0.0
2015-05-26,14.4,0.0
2015-05-27,14.7,0.0
2015-05-28,14.9,0.0
2015-05-29,16.6,0.0
2015-05-30,15.2,0.0
2015-05-31,14.2,0.0
2015-06-01,14.4,0.51
2015-06-02,14.8,0.76
2015-06-03,15.0,0.0
2015-06-04,15.5,0.0
2015-06-05,16.4,0.0
2015-06-06,17.2,0.0
2015-06-07,18.1,0.0
2015-06-08,17.3,0.0
2015-06-09,16.3,0.0
2015-06-10,15.8,0.0
2015-06-11,15.6,0.0
2015-06-12,14.4,0.0
2015-06-13,15.2,0.0
2015-06-14,16.3,0.0
2015-06-15,17.6,0.0
2015-06-16,15.9,0.0
2015-06-17,16.1,0.0
2015-06-18,16.0,3.6
2015-06-19,16.8,0.0
2015-06-20,14.5,0.0
2015-06-21,16.7,0.0
2015-06-22,18.1,0.0
2015-06-23,16.5,0.0
2015-06-24,17.8,0.0
2015-06-25,19.1,0.0
2015-06-26,19.3,0.0
2015-06-27,20.7,0.0
2015-06-28,20.6,0.0
2015-06-29,22.6,0.0
2015-06-30,18.4,0.0
2015-07-01,19.7,0.0
2015-07-02,20.8,0.0
2015-07-03,19.5,0.0
2015-07-04,19.2,0.0
2015-07-05,19.9,0.0
2015-07-06,19.2,0.0
2015-07-07,17.2,0.0
2015-07-08,17.5,0.0
2015-07-09,19.3,0.0
2015-07-10,18.0,0.0
2015-07-11,15.9,1.0
2015-07-12,17.7,0.25
2015-07-13,18.6,0.0
2015-07-14,17.1,0.0
2015-07-15,17.9,0.0
2015-07-16,17.2,0.0
2015-07-17,17.7,0.0
2015-07-18,20.5,0.0
2015-07-19,21.5,0.0
2015-07-20,18.8,0.0
2015-07-21,18.0,0.0
2015-07-22,18.0,0.0
2015-07-23,18.2,0.0
2015-07-24,14.9,5.1
